hotel_name,location,GPS,link,rating,rating_desc,reviews,description
Cerise Chatou,Chatou,"2.1502760052681,48.8956944175799",booking.com//hotel/fr/citea-chatou.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=152&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"7,3",Bien,575 expériences vécues,"L'hôtel Cerise Chatou vous accueille dans les Yvelines, au bord de la Seine, à 3 km de Rueil-Malmaison, à 6 km de Saint-Germain-en-Laye et à 15 minutes de route de Paris."
Hotel Restaurant Gilles Moreau Laguiole,Laguiole,"2.84731507301331,44.6842010905459",booking.com//hotel/fr/restaurant-gilles-moreau.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=153&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,6",Superbe,372 expériences vécues,"Situé dans le village de Laguiole, au cœur de la campagne aveyronnaise, l'Hotel Restaurant Gilles Moreau Laguiole propose des chambres avec une connexion Wi-Fi gratuite et une vue sur le jardin."
Ace Hôtel Angers,Saint-Barthélemy-dʼAnjou,"-0.50152638465579,47.4840483970268",booking.com//hotel/fr/ace-angers.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=154&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,5",Très bien,1 157 expériences vécues,"L'Ace Hôtel Angers propose des hébergements dotés d'une connexion Wi-Fi gratuite à Saint-Barthélemy-d'Anjou, à 4 km d'Angers. Un parking privé est disponible gratuitement sur place."
Les Colonnades,Saint-Fulgent,"-1.17603063583374,46.8499689191353",booking.com//hotel/fr/les-colonnades.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=155&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,8",Superbe,317 expériences vécues,"Situé dans le village de Saint-Fulgent, l'hôtel Les Colonnades se trouve à seulement 2 km de Saint-André-de-Goule-d'Oie et à 30 km du Puy du Fou."
Hotel Dorele,Montargis,"2.74161458015442,48.0055474307266",booking.com//hotel/fr/dorele.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=156&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"7,4",Bien,720 expériences vécues,"L'Hôtel Dorèle est situé à Montargis, à 2 minutes à pied de la gare et à moins de 10 minutes de marche du centre-ville. Il propose des hébergements bon marché avec connexion Wi-Fi gratuite."
Hotel Du Commerce,Thônes,"6.3250458240509,45.8809715335125",booking.com//hotel/fr/logis-du-commerce-thones.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=157&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,0",Très bien,651 expériences vécues,"Le Hotel Du Commerce vous accueille dans le centre de Thônes, à proximité de la station des Aravis et à 12 km des pistes de ski. Il dispose d'une connexion Wi-Fi gratuite."
Logis Hotel Le Provencal,Les Issambres,"6.69349819421768,43.3417452663081",booking.com//hotel/fr/logis-le-provencal.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=158&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,0",Très bien,224 expériences vécues,"Le Logis Hotel Le Provencal vous accueille à la station balnéaire des Issambres, sur la Côte d'Azur. Il fait face à la mer et à la plage."
Le Commerce,Dompaire,"6.227184,48.220842",booking.com//hotel/fr/le-commerce-dompaire.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=159&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"7,1",Bien,79 expériences vécues,"Situé à Dompaire, l'établissement Le Commerce dispose d'un restaurant, d'un bar, d'une terrasse et d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux."
L'Orée des Châteaux,Bracieux,"1.53506577014923,47.5537237261622",booking.com//hotel/fr/oree-des-chateaux.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=160&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,4",Très bien,1 034 expériences vécues,"L'hôtel L'Orée des Châteaux vous accueille dans un cadre verdoyant avec plan d'eau entre Chambord, Cheverny et Blois  Un accueil chaleureux et personnalisé vous attend à L'Orée des Chateaux, un étab..."
martine et jacques,Grayan-et-lʼHôpital,"-1.091757,45.442739",booking.com//hotel/fr/martine-et-jacques.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=161&hpos=11&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,8",Superbe,92 expériences vécues,"Situé à Grayan-et-l'Hôpital, le martine et jacques offre une vue sur la piscine et propose gratuitement une connexion Wi-Fi et un parking privé. Les logements s’ouvrent sur une terrasse."
Auberge de l'Etoile,Thoiry,"1.79403975605965,48.8651602865322",booking.com//hotel/fr/auberge-du-chac-teau.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=162&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"7,7",Bien,285 expériences vécues,"L’Auberge de l’Etoile est située dans un jardin à Thoiry, à seulement 200 mètres du parc et du zoo de Thoiry."
Auberge de Marville,Marville,"5.45870155083321,49.453128101455",booking.com//hotel/fr/auberge-de-marville.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=163&hpos=13&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,1",Très bien,474 expériences vécues,"Située dans la ville de Marville, l'Auberge de Marville possède un restaurant traditionnel français servant un menu différent chaque jour."
Hôtel Lastiry,Sare,"-1.58041253685951,43.3125284896828",booking.com//hotel/fr/lastiry.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=164&hpos=14&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,8",Superbe,520 expériences vécues,"L'Hôtel Lastiry est situé sur la place du village de Sare, figurant parmi les plus beaux villages de France, au cœur du Pays basque."
"The Originals Access, Hôtel Ariès, Argentan (Inter-Hotel)",Argentan,"-0.0365987420082092,48.7324810728297",booking.com//hotel/fr/inter-aries.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=165&hpos=15&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"7,5",Bien,222 expériences vécues,"L’hôtel The Originals Access, Hôtel Ariès, Argentan (Inter-Hotel) est situé à proximité du cœur de la ville historique d’Argentan."
Hôtel La Renaissance,Revel,"2.0235013961792,43.4411415521227",booking.com//hotel/fr/logis-de-france-la-renaissance.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=166&hpos=16&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,0",Très bien,219 expériences vécues,"L'hôtel La Renaissance est situé en Midi-Pyrénées, à côté du lac de Saint-Ferréol, non loin de la Montagne Noire classée au patrimoine de l'UNESCO."
Logis Hôtel Les II Mas - Perpignan Sud,Cabestany,"2.93165847659111,42.6912544194394",booking.com//hotel/fr/hotellesiimas.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=167&hpos=17&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,1",Très bien,438 expériences vécues,"L'hôtel Logis Hôtel Les II Mas - Perpignan Sud se trouve à Perpignan-Cabestany, au cœur des Pyrénées Orientales."
Relais De La Grange,Nort-sur-Erdre,"-1.48206532001495,47.4358457259151",booking.com//hotel/fr/relais-de-la-grange.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=168&hpos=18&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,5",Très bien,254 expériences vécues,"Le Relais de la Grange et situé à 30 kilomètres du centre de Nantes. Il propose un hébergement avec salle de bains privative, un accès Internet gratuit et un parking sur place gratuit."
Kyriad Combs-La-Ville - Senart,Combs-la-Ville,"2.5692952,48.6497226",booking.com//hotel/fr/kyriad-combs-la-ville-senart.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=169&hpos=19&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,7",Superbe,206 expériences vécues,"Situé à Combs-la-Ville, le Kyriad Combs-La-Ville - Senart. Doté d'un bar, cet hôtel 3 étoiles propose des chambres climatisées avec salle de bains privative."
Les Glières - Champagny-en-Vanoise,Champagny-en-Vanoise,"6.69214770197868,45.4547818030816",booking.com//hotel/fr/les-glieres.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=170&hpos=20&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,9",Superbe,155 expériences vécues,"L'établissement Les Glières - Champagny-en-Vanoise est situé dans la station de ski de Champagny-en-Vanoise, à 3 minutes à pied de la remontée mécanique la plus proche qui dessert les domaines..."
Auberge de la Licorne,Livron-sur-Drôme,"4.85551742056874,44.8056280772175",booking.com//hotel/fr/auberge-de-la-licorne.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=171&hpos=21&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"7,0",Bien,173 expériences vécues,"Située à Livron-sur-Drôme, l'Auberge de la Licorne possède un bar, un jardin et une terrasse."
L'Allegria,Casaglione,"8.74343544244766,42.0610964955982",booking.com//hotel/fr/allegria.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=172&hpos=22&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,6",Superbe,626 expériences vécues,"Situé à Tiuccia, dans le golfe de Sagone, l'hôtel L'Allegria dispose d'un accès direct à la plage, d'un bar ainsi que d'une grande terrasse et propose des logements climatisés dotés d'un balcon..."
Kyriad Sannois - Ermont,Sannois,"2.24253192543983,48.9827149109095",booking.com//hotel/fr/campanile-sannois-ermont.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=173&hpos=23&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"6,9",Note,668 expériences vécues,"Situé à Sannois, à 2 km de la gare RER de Cernay, l’établissement Kyriad Sannois - Ermont est facilement accessible par l'autoroute A15. Vous profiterez d’une connexion Wi-Fi gratuite."
Les Arcades,Limoux,"2.21816405653954,43.0537217712002",booking.com//hotel/fr/les-arcades-limoux.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=174&hpos=24&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"7,9",Bien,176 expériences vécues,"Cet hôtel est situé en face de l'église Saint-Martin, à 50 mètres des rives de l'Aude et à 1,2 km de la gare de Limoux."
Les Logis de la Seugne,Saint-Germain-de-Lusignan,"-0.4559331,45.4517936",booking.com//hotel/fr/les-logis-de-la-seugne.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=6280ea31b637d89fca408265a0769cb7&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=175&hpos=25&no_rooms=1&sr_order=popularity&srepoch=1632872029&srpvid=9a09a5aea5500006&ucfs=1&from=searchresults,"8,8",Superbe,92 expériences vécues,"Installé à Saint-Germain-de-Lusignan, à 3 km de Jonzac, l’établissement Les Logis de la Seugne vous propose un jardin et une connexion Wi-Fi gratuite."
Hôtel Cante Grit,Barbotan-les-Thermes,"-0.0414964556694031,43.9524034585633",booking.com//hotel/fr/ha-tel-cante-grit.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=201&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"7,9",Bien,168 expériences vécues,"Installé à 150 mètres de la station balnéaire thermale de Barbotan-les-Thermes, l’Hôtel Cante Grit propose un jardin, une connexion Wi-Fi gratuite et une salle de sport."
Comfort Hotel Etampes,Étampes,"2.16983199119568,48.4340270528728",booking.com//hotel/fr/comfort-hotel-etampes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=202&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"6,9",Note,1 079 expériences vécues,"Situé à Étampes, le Comfort Hotel Etampes est aisément accessible depuis les principales autoroutes. Le parking sur place et la connexion Wi-Fi dans l’ensemble des locaux sont gratuits."
Domaine à Marmande,Berdoues,"0.39656862616539,43.4738565667753",booking.com//hotel/fr/domaine-a-marmande.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=203&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"8,6",Superbe,27 expériences vécues,"Ce Bed & Breakfast est situé dans la campagne, à 4,5 km du village de Mirande, dans la région viticole de Madiran et Armagnac."
Villa Libellule,Cénac,"-0.4654373,44.7748471",booking.com//hotel/fr/villa-libellule-cenac.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=204&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"9,3",Fabuleux,37 expériences vécues,"Située à Cénac, à 28 km de Saint-Émilion, la Villa Libellule dispose d'une piscine extérieure ouverte en saison et d'une connexion Wi-Fi gratuite."
La Cordée Delavay,Les Gets,"6.6656487,46.1557737",booking.com//hotel/fr/la-cordee-delavay.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=205&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"8,7",Superbe,7 expériences vécues,"Situé aux Gets, en Rhône-Alpes, à proximité de l'école de ski des Gets, l'établissement La Cordée Delavay propose un hébergement avec un parking privé gratuit."
Langley Hotel La Vieille Ferme,La Salle-Les-Alpes,"6.56572800000004,44.94515",booking.com//hotel/fr/ha-tel-la-vieille-ferme.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=206&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"8,0",Très bien,317 expériences vécues,"Installé au cœur du village de La-Salle-les-Alpes, le Langley Hotel La Vieille Ferme occupe une ferme rénovée du XVIIIe siècle."
Hotel Ariana,Marine du Miomo,"9.46256518372138,42.7440752787707",booking.com//hotel/fr/ariana.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=207&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"7,2",Bien,691 expériences vécues,"Situé à 5 km de la gare de Bastia et offrant un accès direct à la mer, l'Hôtel Ariana possède un restaurant français traditionnel et une piscine qui offrent une vue sur la mer."
Residence du marche,Jonzac,"-0.436154452413462,45.4443855358831",booking.com//hotel/fr/residence-du-marche.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=208&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"8,8",Superbe,80 expériences vécues,"Située à Jonzac, la Residence du marche propose des hébergements avec une connexion Wi-Fi gratuite."
Hôtel Restaurant Rodier,Campagnac,"3.06608408689499,44.4230668245363",booking.com//hotel/fr/ha-tel-rodier.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=209&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"8,8",Superbe,389 expériences vécues,"Dans son jardin fleuri doté d'une terrasse, cet hôtel vous accueille à 30 minutes en voiture des gorges du Tarn. Une connexion Wi-Fi est disponible gratuitement dans ses hébergements."
Le Relais De La Place,Le Faou,"-4.17801529169083,48.2938778197203",booking.com//hotel/fr/logis-le-relais-de-la-place.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ea9b4f0f965448a4af9f292ada8120e1&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=210&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632872037&srpvid=82dca5b1c35a009c&ucfs=1&from=searchresults,"7,6",Bien,508 expériences vécues,"Le Relais de la Place vous accueille au coeur de la région du Finistère, dans la ville de Le Faou qui a été reconnu l'un des « plus beaux villages de France »."
